mode,lrmsd_obs
1,-2.484277018688923
2,-2.801115363365922
3,-2.833526893754234
4,-2.7002261004145796
5,-2.995105075769706
6,-3.2927660973967052
7,-2.965493611988956
8,-3.0451202486795292
9,-3.4215477499774454
10,-3.0267456627209497
11,-3.3440039085016338
12,-3.9119001023065247
13,-3.6293500927082185
14,-3.0582876676373956
15,-2.9894093777283177
16,-3.2875496511446416
17,-3.4246136919698533
18,-3.333344558997643
19,-3.694395416243032
20,-2.5611781333918935
21,-3.482363672312198
22,-3.0876630574567328
23,-2.8630137233831334
24,-3.455189046525685
25,-3.4408055375400575
26,-3.9986804709221313
27,-3.9340449396938975
28,-3.472450767556093
29,-3.5860559382023345
30,-3.4596094209965402
31,-3.779592343913043
32,-3.0379304749518936
33,-4.265986469728101
34,-3.6526342117733224
35,-3.757966252920024
36,-4.08890110243155
37,-3.61412231752581
38,-4.169966545080381
39,-3.4634501611743373
40,-3.547149779528734
41,-3.353211145239273
42,-3.3818811980659245
43,-4.072097452969973
44,-4.0505938083016195
45,-4.25386160586102
46,-3.578285682946156
47,-4.0731216646008335
48,-3.6631562994729032
49,-3.5533138609236445
50,-3.589457717999782
51,-3.5481592852195427
52,-4.1910406831730285
53,-3.773208169198696
54,-3.5196938313830284
55,-3.7632265918583245
56,-3.689885133596565
57,-3.660081728932068
58,-4.061144673587946
59,-4.329397301513446
60,-3.8886666442420372
61,-4.001804471761409
62,-3.743960862862807
63,-3.969063913772501
64,-3.608265397831145
65,-4.204496511197778
66,-4.755928749162452
67,-4.199680503082648
68,-4.215908263343073
69,-3.553311846106312
70,-3.9243008858722965
71,-4.244127197045442
72,-4.283259008178756
73,-4.2856072598294235
74,-4.576677709842641
75,-4.048245196977353
76,-3.552924986956248
77,-4.186350567735152
78,-3.4364364587095797
79,-3.9660632181143964
80,-4.280040644185335
81,-4.554942618482611
82,-3.4952884816073357
83,-3.7445048482263457
84,-4.425049754402764
85,-4.117027917802515
86,-3.992674194333004
87,-3.6900916502010013
88,-4.341730358166826
89,-4.432063143659977
90,-3.842239024198276
91,-3.9615929944671078
92,-4.33190587904588
93,-3.549793760914221
94,-4.144061168687817
95,-3.9259597253877456
96,-4.472949639134957
